Truro 2,454 Town Meeting adopted 4/26/11 1/1/2012
Tyngsborough 12,380 Town Meeting adopted 3/02/10 1/1/2011
Upton 8,000 Town Meeting adopted 5/8/14 1/1/2015
Uxbridge 14,162 Town Meeting adopted 5/8/18 7/1/2018
Wakefield 27,090 Special Town Meeting adopted 5/8/21 7/1/2021
Walpole 26,383 Town Meeting adopted 10/27/20 1/1/2021
Waltham 65,218 City Council adopted 11/3/2011 7/1/2012
Ware 10,066 Town Meeting adopted 5/9/16 1/1/2017
Wareham 23,303 Town Meeting adopted 4/23/18 7/1/2018
Warren 4,975 Town Meeting adopted 5/10/16 1/1/2017
Warwick 780 Town Meeting adopted 9/22/14 7/7/1/15
Washington 494 Town Meeting adopted 5/8/18 7/1/2018
Watertown 35,329 Town council adopted 11/9/10 7/1/2011
Wayland 13,943 Town Meeting adopted 11/16/10 7/1/2011
Webster 17,776 Town Meeting adopted 10/16/17 1/1/2018
Wellesley 29,550 Town Meeting adopted 4/11/11 1/1/2012
Wellfleet 3,566 Town Meeting adopted 4/28/14 1/1/2015
Wendell 924 Town Meeting adopted 10/18/12 1/1/2014
Wenham 4,979 Town Meeting adopted 5/1/10 1/1/2011
West Brookfield 7,877 Town Meeting adopted 6/4/19 1/1/2020
West Boylston 3,833 Town Meeting adopted 10/16/17 1/1/2018
West Newbury 4,500 Town Meeting adopted 4/29/13 1/1/2014
West Springfield 28,835 Town Meeting adopted 9/14/15 7/1/2016
West Stockbridge 1,343 Town Meeting adopted 6/22/20 7/1/2020
West Tisbury 3,555 Town Meeting adopted 4/12/12 1/1/2013
Westborough 21,567 Town Meeting adopted 3/17/18 7/1/2018
Westfield 40,834 Town Meeting adopted 10/20/16 1/1/2017
Westford 24,643 Town Meeting adopted 10/22/13 7/1/2014
Westhampton 1,622 Town Meeting adopted 10/29/18 1/1/2019
Westminster 8,213 Town Meeting adopted 11/15/11 7/1/2012
Weston 11,851 Town Meeting adopted 5/9/11 1/1/2012
Westport 16,339 Town Meeting adopted 5/1/18 7/1/2018
Westwood 16,266 Town Meeting adopted 5/7/12 1/1/2013
Weymouth 57,437 Town Meeting adopted 10/20/15 7/1/2016
Whately 1,607 Town Meeting adopted 4/24/12 7/1/2013
Whitman 15,121 Town Meeting adopted 5/4/15 1/1/2016
Wilbraham 14,613 Town Meeting adopted 5/14/18 7/1/2018
Williamsburg 2,504 Town Meeting adopted 6/6/11 1/1/2012
Williamstown 7,513 Town Meeting adopted 5/18/10 1/1/2011
Winchendon 10,364 Town Meeting adopted 5/20/13 1/1/2014
Winchester 22,970 Town Meeting adopted 11/18/10 7/1/2011
Windsor 831 Town Meeting adopted 5/4/15 1/1/2016
Winthrop 19,316 Town Council adopted 5/15/12 1/1/2013
Woburn 40,876 City Council adopted 3/15/11 1/1/2012
Worcester 206,518 City Council adopted May 4,10 7/1/2011
Worthington 1,193 Town Meeting adopted 10/17/18 7/1/2019
Wrentham 12,178 Town Meeting adopted 11/15/21 1/1/2022
Yarmouth 25,023 Town Meeting adopted 5/5/18 7/1/2018
